,UUID,SRC HOSTNAME,DST HOSTNAME,THROUGHPUT (mean),LATENCY (mean),RETRANSMITS (mean),BYTES (mean)
1012,96a35c93-5eab-4e7a-9e50-588a71d78c77,localhost,sacr-pt1.es.net,9752940294.286625,36790.875,31252,16210363.933333334
1013,e52b7b54-db55-4974-b6b2-05dfb15b5901,localhost,sacr-pt1.es.net,9708159336.683706,36425.74166666667,29475,18793780.333333332
1014,3114954b-3133-40f5-a5ca-0a14b6100935,localhost,cern-773-pt1.es.net,9722519444.24292,46299.49166666667,34152,14641079.133333333
1015,915d25bf-6df7-468d-8b13-cea675e2df20,localhost,cern-773-pt1.es.net,9678343772.36038,45989.175,33608,20142523.933333334
1016,6e189494-a7ee-4065-a897-4d19595b7df6,localhost,cern-773-pt1.es.net,9679526579.74938,46030.816666666666,33688,16756497.266666668
1017,8503290c-ac0d-47af-b2e6-388ec14181f7,localhost,cern-773-pt1.es.net,9682699777.116926,46141.46666666667,28690,21016337.266666666
1018,c2246fd7-b233-4efd-b929-d6a525d2bd26,localhost,cern-773-pt1.es.net,9680439716.78203,46321.89166666667,29578,19025280.133333333
1019,0db43464-2003-4e8a-9eee-ae3bc7430ae5,localhost,tau.ijs.si,8895066592.380116,50813.74166666667,223617,7797056.533333333
1020,da501cce-f5f2-4340-ba42-c4680b9f9d37,localhost,tau.ijs.si,8574549445.880598,51126.275,193944,9944753.066666666
1021,3b361111-bcf0-4b2a-ad79-2f685a29fc6f,localhost,tau.ijs.si,8607993966.44696,50886.916666666664,210059,8967147.733333332
1022,10eef112-d8f1-4539-af1b-ececba0d15c8,localhost,tau.ijs.si,8821499524.759466,50855.058333333334,257556,13389461.866666667
1023,4d3e8ef2-7b88-4625-bb1f-fbd1d35dbd80,localhost,tau.ijs.si,8683442545.990196,50746.14166666667,197095,13627588.533333333
1024,f4791030-fc10-476c-8bde-3cdbe953cb7c,localhost,lcgps02.gridpp.rl.ac.uk,8510526734.988243,38001.63333333333,173588,5192031.866666666
1025,81ad48ee-c839-4824-9552-b3b304f7e77c,localhost,lcgps02.gridpp.rl.ac.uk,7631443536.595852,37762.13333333333,154416,10168641.066666666
1026,3107cc8b-dac9-451c-9230-f68e71e78098,localhost,lcgps02.gridpp.rl.ac.uk,7765735024.611276,37923.875,187341,15462596.533333333
1027,fc5bec13-44cd-4590-abbb-1eb37c6990e7,localhost,lcgps02.gridpp.rl.ac.uk,7159856120.97745,37870.7,157692,21427458.533333335
1028,41a3f210-d9e8-4b35-8beb-7c0c4a630164,localhost,lcgps02.gridpp.rl.ac.uk,7747978202.453767,37791.9,181710,6811844.533333333
1029,f7a9a86e-eab6-4640-8236-35a05feecd92,localhost,perfsonar.na.infn.it,8980410405.310886,54645.175,262116,8646852.533333333
1030,27558a0c-6b9e-4b19-87a1-04b139d23c32,localhost,perfsonar.na.infn.it,8815660495.542276,54612.958333333336,334365,5409616.4
1031,2d8555a4-c7fd-4d53-99af-abc1ec634e51,localhost,perfsonar.na.infn.it,8872904996.01926,54528.36666666667,308415,4605465.866666666
1032,1d599474-b671-4bee-b276-12b77701a88e,localhost,perfsonar.na.infn.it,8850559984.362707,55133.475,370029,2967065.8666666667
1033,312206d1-9834-4db5-a019-5138772c9931,localhost,perfsonar.na.infn.it,8820953968.93725,54456.50833333333,301674,8730107.066666666
1034,48e5f9b0-97d7-4061-b93b-678343366083,localhost,perfsonar.na.infn.it,8645745512.25688,56004.78333333333,1066738,1760359.7333333334
1035,b44f26ef-9970-41ed-9b7d-e111af558f3f,localhost,perfsonar.na.infn.it,8034065869.175247,56537.6,4470392,1896644.5333333334
1036,04203878-d27c-4a25-a05e-a4f27cef72ac,localhost,perfsonar.na.infn.it,7954173070.603853,56861.441666666666,3424237,1219439.2
1037,4b49dd61-cf43-4838-ab58-a86b81da5f7d,localhost,perfsonar.na.infn.it,8315896349.950998,55162.208333333336,4336093,1962180.5333333334
1038,d690f41a-eba6-44d3-ab9e-e80845a90d85,localhost,perfsonar.na.infn.it,8089025150.559676,57253.38333333333,3755431,3032601.8666666667
1039,8a6e15d5-2c64-41d9-b9ca-7a072b42ccb9,localhost,perfsonar.na.infn.it,4851871350.829622,53751.23333333333,0,606484687.0666667
1040,8204b365-4f8c-4cbf-9eb0-7b4308d10cbc,localhost,nsw-brwy-ps1.aarnet.net.au,2199367536.3842993,116144.325,0,274921514.8
1041,ca8d178a-44d4-4bcf-8e07-cbb17850f8cc,localhost,nsw-brwy-ps1.aarnet.net.au,2187483481.061066,116749.73333333334,0,273436032.1333333
1042,729c2aec-eca8-4261-8da4-43051852869e,localhost,nsw-brwy-ps1.aarnet.net.au,2201466812.095393,116525.275,0,275183658.8
1043,71d70bb1-871e-441d-99d5-0dd10b3e93d6,localhost,nsw-brwy-ps1.aarnet.net.au,2195348113.19217,116371.275,0,274419072.1333333
1044,baf7c15d-981a-4b97-a00b-e6f4da23b62d,localhost,nsw-brwy-ps1.aarnet.net.au,2177521885.642424,116749.89166666666,0,272190848.1333333
1045,bc20ff99-b78f-4b80-9ac2-1e45cb38abab,localhost,perfsonar2.icepp.jp,2918821511.00816,88066.54166666667,0,364853455.06666666
1046,66f721cf-c5ff-4c57-849a-7c5ee077ac9b,localhost,perfsonar2.icepp.jp,2919348084.725022,88069.74166666667,0,364918991.06666666
1047,f63402d3-d6b0-49c7-bf73-9776ef93ff3e,localhost,perfsonar2.icepp.jp,2908848424.5579433,88071.2,0,363608271.06666666
1048,9a12051a-d11b-44e3-83e4-81cb423932ac,localhost,perfsonar2.icepp.jp,2924234317.32131,87948.275,0,365530660.4
1049,db23a4c4-57a6-42db-882f-731873a1ba7f,localhost,perfsonar2.icepp.jp,2908512522.80726,88069.1,0,363564580.4
1050,67216277-1858-44c3-b20d-6e3f6670eabd,localhost,eqx-ash-pt1.es.net,9786636398.95734,5570.366666666667,5055,1223337705.4
1051,a8aa16f2-342e-447e-8fa4-a7740c315ad7,localhost,eqx-ash-pt1.es.net,9752570096.77864,7008.35,10459,1219077865.4
1052,436639c0-0f4b-4577-b574-9850985b1b1c,localhost,eqx-ash-pt1.es.net,9715672797.213943,7490.583333333333,21893,1214469544.0
1053,9607266b-7156-4600-80ab-17c3398dd9c3,localhost,eqx-ash-pt1.es.net,9752621196.9581,7362.325,24396,1219078909.3333333
1054,a3fe1e21-0ec4-4ce3-9be1-e10e30b88173,localhost,eqx-ash-pt1.es.net,9749975680.289366,6163.733333333334,14890,1218748097.5333333
1055,55e66616-8f7f-458b-b8be-213e94180e75,localhost,star-pt1.es.net,9694787267.02267,10073.608333333334,11368,1211849297.0666666
1056,e4602eda-f059-403e-9642-df8fc63e2a42,localhost,star-pt1.es.net,9739869273.80741,10177.9,12706,1217484349.1333334
1057,7e4105d9-96d4-4890-af0e-88ad18bc85cd,localhost,star-pt1.es.net,9740369171.94469,10068.383333333333,7284,1217547648.1333334
1058,473be1d5-e38a-4019-b33f-a72a9da0d804,localhost,star-pt1.es.net,9737051768.76921,10158.608333333334,14126,1217132586.8
1059,76889bdd-da78-49db-bcc2-5c699fecb5f7,localhost,star-pt1.es.net,9735605535.13841,10136.191666666668,9575,1216955438.0
1060,d8b3e628-b688-440e-8b2b-3ec936126ae9,localhost,kans-pt1.es.net,9686877170.15445,18053.241666666665,3545,1210862976.1333334
1061,7237dc89-9026-4077-a607-1c12668b12ca,localhost,kans-pt1.es.net,9350422092.8631,18596.75,21744,1168810709.4666667
1062,86d40610-4ed7-4f26-b179-16acf97d027c,localhost,kans-pt1.es.net,9383292863.74328,18335.35,23414,1172920913.0666666
1063,f7b05dc9-9313-4910-82b7-28366799008d,localhost,kans-pt1.es.net,9422307164.27213,18478.591666666667,14781,1177789141.4666667
1064,48c5efb5-9a34-4e30-80c7-e4966afc0612,localhost,kans-pt1.es.net,9437290501.39256,18914.016666666666,13354,1179667840.1333334
1065,c3674143-0aed-4b40-91da-b3acf27954aa,localhost,denv-pt1.es.net,9623396955.72818,27090.883333333335,4,1202933120.1333334
1066,2289a467-938e-4514-880a-7cdfadd770bc,localhost,denv-pt1.es.net,9622707051.508535,27017.616666666665,2,1202845738.8
1067,a8cc26d0-c070-4143-859b-b4f1acad0db7,localhost,denv-pt1.es.net,9619811091.73169,27064.358333333334,2,1202477649.0666666
1068,5a190d29-6cbc-4bd0-a095-33c1f3400514,localhost,denv-pt1.es.net,9622588742.08615,26831.716666666667,3,1202823893.4666667
1069,72c3fa85-7ac9-4592-a9f4-f1bf976ec8dd,localhost,denv-pt1.es.net,9622509356.403805,26916.85,4,1202823893.4666667
1070,0657ed5f-abca-4aaa-8ebd-4365c976500c,localhost,sacr-pt1.es.net,7780437901.516346,33385.9,4,972555515.7333333
1071,3939f4cf-c100-4b41-a58b-33a0046989df,localhost,tau.ijs.si,5199997303.47242,50666.041666666664,816,650001049.6
1072,4a489806-c08b-4118-a546-e4b8631cfde5,localhost,lcgps02.gridpp.rl.ac.uk,5104070435.319926,37443.65833333333,7452,638010133.6
1073,bea70678-3f03-4516-a4d2-b9e6c747652a,localhost,lcgps02.gridpp.rl.ac.uk,5041332029.024613,37535.55,6387,630167658.9333333
1074,923a3e6d-c61c-4f17-b734-6897ae37fd35,localhost,lcgps02.gridpp.rl.ac.uk,5831254626.976472,37595.416666666664,7395,728908565.6
1075,a8376c8a-567b-4698-8053-0cf69f1bd9bd,localhost,lcgps02.gridpp.rl.ac.uk,4494318469.590665,37462.65833333333,5409,561791765.6
1076,af0c381d-04e7-476e-915e-61097f95feab,localhost,lcgps02.gridpp.rl.ac.uk,5941356428.928892,37530.75,5130,742671125.6
1077,70a1eaee-c4be-4bfa-b409-4a033461cf78,localhost,perfsonar.na.infn.it,4892431737.630496,53789.816666666666,121,611555434.9333333
1078,4c2e0eff-878a-4fb3-9a8f-388adfa3b57e,localhost,perfsonar.na.infn.it,4890337035.8263,53839.925,236,611293290.9333333
1079,4d04e326-b650-4fbe-8d0a-d2c89dfba7c6,localhost,perfsonar.na.infn.it,4353644663.51676,53800.53333333333,218,544206272.2666667
