,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
66,073d22cc-9246-4956-b3f7-63f787b40bfb,10.201.1.2,hostA,2021-06-24T18:12:53.844Z,1,1731153398.845565,1706057584.8340747,30124.0,30619.5,30196.0,5681,bbr2,bbr2,12808341624
67,a5f796a0-12d9-43c4-9669-dd900fef0ca5,10.201.1.2,hostA,2021-06-24T18:19:02.423Z,4,667025437.7207466,659358335.8317916,30132.5,31346.5,30326.0,4366,bbr2,bbr2,4950163284
68,2527134a-ce1c-484e-bf40-fe246dde92dd,10.201.1.2,hostA,2021-06-24T18:04:18.765Z,4,333459664.674354,331438569.672702,30132.5,30692.0,30238.5,485,cubic,cubic,2488300044
69,289e4519-3751-4b4b-b150-50a17a6ff603,10.201.1.2,hostB,2021-06-24T18:21:31.374Z,4,2281136918.7956,2233696851.894221,50150.5,52087.5,51232.0,197,bbr2,bbr2,16781352052
70,e441f7f4-3fbd-4ff4-a051-971060286739,10.201.1.2,hostA,2021-06-24T18:11:41.111Z,1,1736048749.1471884,1713187014.7587774,30138.0,30942.5,30195.5,4368,bbr2,bbr2,12861850664
71,84d236aa-b386-4ee4-b5e1-01a923e8a8b5,10.201.1.2,hostA,2021-06-24T18:20:15.387Z,4,651138148.5288572,645501393.8027065,30143.0,30882.0,30275.0,2898,bbr2,bbr2,4846142784
72,a61aaa6e-df78-4b4c-a6fb-a292df0c772f,10.201.1.2,hostA,2021-06-28T18:53:00.826Z,1,1630380628.4749649,1623276822.0993054,30062.0,30264.5,30185.5,1535,cubic,cubic,12186858284
73,237c2326-9652-48c1-afff-c1fc78ca00da,10.201.1.2,hostA,2021-06-28T18:54:13.558Z,1,1659031912.1705728,1652145315.2700727,30144.5,30307.5,30193.0,1344,cubic,cubic,12403578844
74,676c15f6-6e16-488a-b1f1-6d19826d9238,10.201.1.2,hostA,2021-06-28T20:30:47.452Z,1,988743899.699597,983358400.325459,31370.0,31501.0,31422.5,0,cubic,cubic,7382614448
75,81e21bcc-135d-471c-8464-84d4fe634a2e,10.201.1.2,hostA,2021-06-28T20:32:00.530Z,1,1976051819.9257247,1965511216.9481769,31377.5,31460.5,31420.5,0,cubic,cubic,14756187004
76,e8120a08-654a-4d83-98be-6713d1ff955e,10.201.1.2,hostA,2021-06-28T20:33:13.592Z,1,2962443216.40221,2946648650.319039,31429.5,31575.5,31489.0,0,cubic,cubic,22122117968
77,2d42af51-8e15-46bf-99ee-9006facbe3c9,10.201.1.2,hostA,2021-06-28T20:34:26.644Z,1,3947082059.6250334,3926023684.073209,31385.5,31634.5,31488.0,0,cubic,cubic,29474841684
